,year,group,earn_perc_chng_from_total,group_legend
0,1995,diff_%_total_total,0.0,total
1,1996,diff_%_total_total,0.0,total
2,1997,diff_%_total_total,0.0,total
3,1998,diff_%_total_total,0.0,total
4,1999,diff_%_total_total,0.0,total
5,2000,diff_%_total_total,0.0,total
6,2001,diff_%_total_total,0.0,total
7,2002,diff_%_total_total,0.0,total
8,2003,diff_%_total_total,0.0,total
9,2004,diff_%_total_total,0.0,total
10,2005,diff_%_total_total,0.0,total
11,2006,diff_%_total_total,0.0,total
12,2007,diff_%_total_total,0.0,total
13,2008,diff_%_total_total,0.0,total
14,2009,diff_%_total_total,0.0,total
15,2010,diff_%_total_total,0.0,total
16,2011,diff_%_total_total,0.0,total
17,2012,diff_%_total_total,0.0,total
18,2013,diff_%_total_total,0.0,total
19,2014,diff_%_total_total,0.0,total
20,2015,diff_%_total_total,0.0,total
21,2016,diff_%_total_total,0.0,total
22,2017,diff_%_total_total,0.0,total
23,2018,diff_%_total_total,0.0,total
24,2019,diff_%_total_total,0.0,total
25,2020,diff_%_total_total,0.0,total
26,1995,diff_%_HS_total,-0.16702819956616052,High School
27,1996,diff_%_HS_total,-0.15065502183406113,High School
28,1997,diff_%_HS_total,-0.13956043956043956,High School
29,1998,diff_%_HS_total,-0.1446673706441394,High School
30,1999,diff_%_HS_total,-0.1621900826446281,High School
31,2000,diff_%_HS_total,-0.16649642492339123,High School
32,2001,diff_%_HS_total,-0.1607324516785351,High School
33,2002,diff_%_HS_total,-0.15510204081632653,High School
34,2003,diff_%_HS_total,-0.16548940464177597,High School
35,2004,diff_%_HS_total,-0.16132264529058116,High School
36,2005,diff_%_HS_total,-0.16032064128256512,High School
37,2006,diff_%_HS_total,-0.15720081135902636,High School
38,2007,diff_%_HS_total,-0.171225937183384,High School
39,2008,diff_%_HS_total,-0.1848151848151848,High School
40,2009,diff_%_HS_total,-0.21083172147001933,High School
41,2010,diff_%_HS_total,-0.21941747572815534,High School
42,2011,diff_%_HS_total,-0.194,High School
43,2012,diff_%_HS_total,-0.20375865479723046,High School
44,2013,diff_%_HS_total,-0.2003968253968254,High School
45,2014,diff_%_HS_total,-0.19480519480519481,High School
46,2015,diff_%_HS_total,-0.19517102615694165,High School
47,2016,diff_%_HS_total,-0.20565302144249512,High School
48,2017,diff_%_HS_total,-0.21379980563654033,High School
49,2018,diff_%_HS_total,-0.210727969348659,High School
50,2019,diff_%_HS_total,-0.23271028037383176,High School
51,2020,diff_%_HS_total,-0.23097345132743363,High School
