,year,group,earn_perc_chng_from_total,group_legend
0,1995,diff_%_total_total,0.0,total
1,1996,diff_%_total_total,0.0,total
2,1997,diff_%_total_total,0.0,total
3,1998,diff_%_total_total,0.0,total
4,1999,diff_%_total_total,0.0,total
5,2000,diff_%_total_total,0.0,total
6,2001,diff_%_total_total,0.0,total
7,2002,diff_%_total_total,0.0,total
8,2003,diff_%_total_total,0.0,total
9,2004,diff_%_total_total,0.0,total
10,2005,diff_%_total_total,0.0,total
11,2006,diff_%_total_total,0.0,total
12,2007,diff_%_total_total,0.0,total
13,2008,diff_%_total_total,0.0,total
14,2009,diff_%_total_total,0.0,total
15,2010,diff_%_total_total,0.0,total
16,2011,diff_%_total_total,0.0,total
17,2012,diff_%_total_total,0.0,total
18,2013,diff_%_total_total,0.0,total
19,2014,diff_%_total_total,0.0,total
20,2015,diff_%_total_total,0.0,total
21,2016,diff_%_total_total,0.0,total
22,2017,diff_%_total_total,0.0,total
23,2018,diff_%_total_total,0.0,total
24,2019,diff_%_total_total,0.0,total
25,2020,diff_%_total_total,0.0,total
26,1995,diff_%_HS_total,-16.702819956616054,High School
27,1996,diff_%_HS_total,-15.065502183406112,High School
28,1997,diff_%_HS_total,-13.956043956043956,High School
29,1998,diff_%_HS_total,-14.46673706441394,High School
30,1999,diff_%_HS_total,-16.219008264462808,High School
31,2000,diff_%_HS_total,-16.649642492339122,High School
32,2001,diff_%_HS_total,-16.073245167853507,High School
33,2002,diff_%_HS_total,-15.510204081632653,High School
34,2003,diff_%_HS_total,-16.548940464177598,High School
35,2004,diff_%_HS_total,-16.132264529058116,High School
36,2005,diff_%_HS_total,-16.03206412825651,High School
37,2006,diff_%_HS_total,-15.720081135902635,High School
38,2007,diff_%_HS_total,-17.1225937183384,High School
39,2008,diff_%_HS_total,-18.48151848151848,High School
40,2009,diff_%_HS_total,-21.08317214700193,High School
41,2010,diff_%_HS_total,-21.941747572815533,High School
42,2011,diff_%_HS_total,-19.400000000000002,High School
43,2012,diff_%_HS_total,-20.375865479723046,High School
44,2013,diff_%_HS_total,-20.03968253968254,High School
45,2014,diff_%_HS_total,-19.480519480519483,High School
46,2015,diff_%_HS_total,-19.517102615694164,High School
47,2016,diff_%_HS_total,-20.56530214424951,High School
48,2017,diff_%_HS_total,-21.379980563654033,High School
49,2018,diff_%_HS_total,-21.0727969348659,High School
50,2019,diff_%_HS_total,-23.271028037383175,High School
51,2020,diff_%_HS_total,-23.097345132743364,High School
52,1995,diff_%_SC_total,-2.1691973969631237,Some College
