report_name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,all_sex,male,female,all_races,white,black,asian,his_lan,all_union,member,repped_by,non-union,all_edu,less_hs,hs,some_col,bach,advan
total,480,490,500,526,550,576,596,601,623,644,665,680,700,736,760,769,769,796,800,807,808,841,865,900,939,1000,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
total men,550,564,576,600,620,650,675,692,701,727,743,769,792,820,850,850,865,880,894,900,920,942,962,1000,1032,1115,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
total women,400,414,425,450,462,480,500,528,550,560,577,600,614,644,665,673,692,698,720,730,720,751,769,798,814,900,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
Less than HS,300,300,312,320,330,346,360,380,400,400,400,400,420,440,440,440,450,462,468,480,480,500,520,550,600,600,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
High School,400,416,430,450,461,480,500,508,520,540,559,573,580,600,600,600,620,634,640,650,650,668,680,710,720,769,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
Some College,470,480,500,512,530,553,576,600,600,615,634,650,673,688,692,700,702,720,720,731,726,750,769,800,808,865,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
Bachelors Degree,656,673,692,730,769,788,807,838,865,865,900,935,962,968,1000,1000,1000,1019,1058,1058,1077,1115,1153,1154,1200,1250,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
Advanced Degree,884,910,937,961,1000,1000,1057,1096,1115,1154,1154,1200,1240,1279,1327,1346,1346,1384,1385,1372,1385,1442,1442,1500,1538,1615,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Male + Less than HS,300,300,312,320,330,346,360,380,400,400,400,400,420,440,440,440,450,462,468,480,480,500,520,550,600,600,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Male + High School,400,416,430,450,461,480,500,508,520,540,559,573,580,600,600,600,620,634,640,650,650,668,680,710,720,769,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
Male + Some College,470,480,500,512,530,553,576,600,600,615,634,650,673,688,692,700,702,720,720,731,726,750,769,800,808,865,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
