report_name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,all_sex,male,female,all_races,white,black,asian,his_lan,all_union,member,repped_by,non-union,all_edu,less_hs,hs,some_col,bach,advan
total,922.0,916.0,910.0,947.0,968.0,979.0,983.0,980.0,991.0,998.0,998.0,986.0,987.0,1001.0,1034.0,1030.0,1000.0,1011.0,1008.0,1001.0,994.0,1026.0,1029.0,1044.0,1070.0,1130.0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
total men,1056.0,1055.0,1048.0,1080.0,1091.0,1105.0,1114.0,1128.0,1115.0,1127.0,1114.0,1115.0,1117.0,1115.0,1156.0,1139.0,1124.0,1118.0,1126.0,1116.0,1132.0,1149.0,1145.0,1160.0,1176.0,1260.0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
total women,768.0,774.0,774.0,810.0,813.0,816.0,825.0,861.0,874.0,868.0,866.0,870.0,866.0,876.0,904.0,902.0,900.0,886.0,907.0,905.0,886.0,916.0,915.0,926.0,928.0,1017.0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
Less than HS,576.0,561.0,568.0,576.0,581.0,588.0,594.0,619.0,636.0,620.0,600.0,580.0,592.0,598.0,598.0,590.0,585.0,587.0,590.0,595.0,590.0,610.0,619.0,638.0,684.0,678.0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
High School,768.0,778.0,783.0,810.0,811.0,816.0,825.0,828.0,827.0,837.0,838.0,831.0,818.0,816.0,816.0,804.0,806.0,805.0,806.0,806.0,800.0,815.0,809.0,824.0,821.0,869.0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
Some College,902.0,898.0,910.0,922.0,933.0,940.0,950.0,978.0,954.0,953.0,951.0,942.0,949.0,936.0,941.0,938.0,913.0,914.0,907.0,906.0,893.0,915.0,915.0,928.0,921.0,977.0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
Bachelors Degree,1260.0,1259.0,1259.0,1314.0,1353.0,1340.0,1332.0,1366.0,1375.0,1341.0,1350.0,1356.0,1356.0,1316.0,1360.0,1340.0,1300.0,1294.0,1333.0,1312.0,1325.0,1360.0,1372.0,1339.0,1368.0,1412.0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
Advanced Degree,1697.0,1702.0,1705.0,1730.0,1760.0,1700.0,1744.0,1786.0,1773.0,1789.0,1731.0,1740.0,1748.0,1739.0,1805.0,1804.0,1750.0,1758.0,1745.0,1701.0,1704.0,1759.0,1716.0,1740.0,1753.0,1825.0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Male + Less than HS,634.0,636.0,637.0,648.0,648.0,653.0,660.0,652.0,668.0,659.0,660.0,652.0,660.0,654.0,657.0,643.0,624.0,635.0,630.0,644.0,640.0,678.0,687.0,696.0,730.0,757.0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Male + High School,922.0,926.0,910.0,936.0,950.0,952.0,950.0,978.0,954.0,949.0,930.0,942.0,940.0,936.0,944.0,927.0,910.0,914.0,907.0,906.0,908.0,911.0,915.0,928.0,920.0,972.0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
