Series ID,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,report_name,all_sex,male,female,all races,white,black,asian,his_lan,all_union,member,repped_by,non-union
LUU0252881500,576,596,608,620,638,651,671,695,722,739,747,756,768,776,791,809,832,860,886,917,984,998,1059,Total 16 and older,1,0,0,1,0,0,0,0,1,0,0,0
LUU0253169100,691,711,738,760,781,801,833,863,886,908,917,938,943,950,970,980,1004,1041,1051,1095,1144,1169,1216,Members of unions,1,0,0,1,0,0,0,0,0,1,0,0
LUU0253169200,685,705,733,755,776,795,827,857,880,901,911,934,933,944,965,975,995,1028,1042,1082,1138,1158,1203,Represented by unions,1,0,0,1,0,0,0,0,0,0,1,0
LUU0253169300,543,576,587,599,612,622,642,663,691,710,717,729,742,750,763,776,802,829,860,892,958,975,1029,Non-union,1,0,0,1,0,0,0,0,0,0,0,1
LUU0252881800,641,670,679,695,713,722,743,766,798,819,824,832,854,860,871,895,915,941,973,1007,1082,1097,1154,Total men,0,1,0,1,0,0,0,0,1,0,0,0
LUU0253171500,732,756,780,805,829,857,887,913,939,957,967,982,997,991,1015,1017,1050,1102,1123,1147,1216,1227,1273,Men in unions,0,1,0,1,0,0,0,0,0,1,0,0
LUU0253171600,730,753,775,802,828,855,885,910,937,953,964,981,990,985,1013,1014,1042,1094,1121,1139,1210,1217,1266,Men represented by unions,0,1,0,1,0,0,0,0,0,0,1,0
LUU0253211300,617,647,652,667,685,692,717,738,766,786,789,798,821,831,840,869,890,914,948,986,1051,1069,1137,Men non-union,0,1,0,1,0,0,0,0,0,0,0,1
LUU0252882700,493,512,529,552,573,585,600,614,638,657,669,684,691,706,719,726,749,770,789,821,891,912,958,Total women,0,0,1,1,0,0,0,0,1,0,0,0
LUU0253173800,619,638,666,696,723,731,758,790,809,840,856,879,877,898,904,928,955,970,968,1018,1067,1104,1146,Women in unions,0,0,1,1,0,0,0,0,0,1,0,0
LUU0253173900,613,634,662,691,719,726,753,784,800,833,847,871,865,893,899,921,942,954,958,1004,1057,1086,1135,Women represented by unions,0,0,1,1,0,0,0,0,0,0,1,0
LUU0253211400,475,495,509,523,541,559,579,592,615,628,639,653,663,676,687,697,723,746,764,792,862,884,932,Women non-union,0,0,1,1,0,0,0,0,0,0,0,1
LUU0252883600,590,610,623,636,657,672,690,716,742,757,765,775,792,802,816,835,862,890,916,945,1003,1018,1085,Total white,1,0,0,0,1,0,0,0,1,0,0,0
LUU0253176100,710,733,762,779,808,830,859,889,914,934,943,961,973,978,997,1007,1050,1089,1098,1127,1165,1199,1246,White in unions,1,0,0,0,1,0,0,0,0,1,0,0
LUU0253176200,705,727,756,774,802,824,854,884,907,926,936,956,960,970,992,999,1034,1076,1090,1115,1157,1182,1234,White represented by unions,1,0,0,0,1,0,0,0,0,0,1,0
LUU0253211500,564,590,602,612,626,641,659,684,712,728,736,747,762,769,784,803,827,860,889,917,978,996,1056,White non-union,1,0,0,0,1,0,0,0,0,0,0,1
LUU0252883900,662,689,702,715,732,743,761,788,825,845,850,856,879,884,897,920,942,971,1002,1036,1110,1125,1172,Total white men,0,1,0,0,1,0,0,0,1,0,0,0
LUU0253176300,750,775,804,827,855,884,909,937,967,981,988,1004,1025,1019,1043,1051,1111,1141,1157,1181,1243,1257,1301,White men in unions,0,1,0,0,1,0,0,0,0,1,0,0
LUU0253176400,748,773,801,825,854,884,907,934,965,976,985,1001,1017,1012,1041,1044,1099,1135,1154,1173,1237,1248,1294,White men represented by unions,0,1,0,0,1,0,0,0,0,0,1,0
LUU0253176500,635,667,674,688,704,714,735,757,789,811,817,821,845,856,867,895,915,942,978,1012,1080,1097,1156,White men non-union,0,1,0,0,1,0,0,0,0,0,0,1
LUU0252884200,502,522,547,567,584,596,609,626,654,669,684,703,710,722,734,743,766,795,817,840,905,925,973,Total white women,0,0,1,0,1,0,0,0,1,0,0,0
LUU0253176600,632,660,694,711,738,749,777,814,837,859,882,903,902,924,929,952,989,1014,1007,1044,1085,1121,1169,White women in unions,0,0,1,0,1,0,0,0,0,1,0,0
LUU0253176700,627,654,687,707,734,743,772,807,828,852,872,897,890,917,923,944,975,997,1001,1023,1070,1101,1156,White women represented by unions,0,0,1,0,1,0,0,0,0,0,1,0
LUU0253176800,484,504,520,539,557,576,588,603,627,639,651,670,681,693,704,715,738,766,786,810,877,899,946,White women non-union,0,0,1,0,1,0,0,0,0,0,0,1
LUU0252884500,474,491,498,514,525,520,554,569,589,601,611,615,621,629,639,641,678,682,694,735,794,801,878,Total black,1,0,0,0,0,1,0,0,1,0,0,0
LUU0253211600,593,610,614,665,656,656,707,732,720,749,772,771,784,791,810,800,808,823,826,905,965,998,1022,Black in unions,1,0,0,0,0,1,0,0,0,1,0,0
LUU0253211700,585,602,611,654,651,653,694,727,712,745,766,768,774,794,807,798,807,813,815,901,971,987,1010,Black represented by unions,1,0,0,0,0,1,0,0,0,0,1,0
LUU0253211800,445,469,476,491,507,500,520,533,564,581,589,595,599,606,611,617,646,659,673,711,766,775,849,Black non-union,1,0,0,0,0,1,0,0,0,0,0,1
LUU0252884800,510,529,524,555,569,559,591,600,620,621,633,653,665,664,680,680,718,710,735,769,830,825,921,Total black men,0,1,0,0,0,1,0,0,1,0,0,0
LUU0253211900,613,666,650,693,679,689,745,768,756,780,829,802,819,816,835,824,818,869,890,948,1020,1006,1089,Black men in unions,0,1,0,0,0,1,0,0,0,1,0,0
LUU0253212000,610,652,642,687,679,682,734,763,751,781,827,803,811,812,833,821,826,856,879,930,1022,992,1065,Black men represented by unions,0,1,0,0,0,1,0,0,0,0,1,0
LUU0253212100,489,505,502,518,534,523,557,573,598,599,606,619,624,635,648,650,690,687,714,746,798,802,893,Black men non-union,0,1,0,0,0,1,0,0,0,0,0,1
