,95,96,97,98,99,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20
total,480.0,490.0,500.0,526.0,550.0,576.0,596.0,601.0,623.0,644.0,665.0,680.0,700.0,736.0,760.0,769.0,769.0,796.0,800.0,807.0,808.0,841.0,865.0,900.0,939.0,1000.0
total men,550.0,564.0,576.0,600.0,620.0,650.0,675.0,692.0,701.0,727.0,743.0,769.0,792.0,820.0,850.0,850.0,865.0,880.0,894.0,900.0,920.0,942.0,962.0,1000.0,1032.0,1115.0
total women,400.0,414.0,425.0,450.0,462.0,480.0,500.0,528.0,550.0,560.0,577.0,600.0,614.0,644.0,665.0,673.0,692.0,698.0,720.0,730.0,720.0,751.0,769.0,798.0,814.0,900.0
Less than HS,300.0,300.0,312.0,320.0,330.0,346.0,360.0,380.0,400.0,400.0,400.0,400.0,420.0,440.0,440.0,440.0,450.0,462.0,468.0,480.0,480.0,500.0,520.0,550.0,600.0,600.0
High School,400.0,416.0,430.0,450.0,461.0,480.0,500.0,508.0,520.0,540.0,559.0,573.0,580.0,600.0,600.0,600.0,620.0,634.0,640.0,650.0,650.0,668.0,680.0,710.0,720.0,769.0
Some College,470.0,480.0,500.0,512.0,530.0,553.0,576.0,600.0,600.0,615.0,634.0,650.0,673.0,688.0,692.0,700.0,702.0,720.0,720.0,731.0,726.0,750.0,769.0,800.0,808.0,865.0
Bachelors Degree,656.0,673.0,692.0,730.0,769.0,788.0,807.0,838.0,865.0,865.0,900.0,935.0,962.0,968.0,1000.0,1000.0,1000.0,1019.0,1058.0,1058.0,1077.0,1115.0,1153.0,1154.0,1200.0,1250.0
Advanced Degree,884.0,910.0,937.0,961.0,1000.0,1000.0,1057.0,1096.0,1115.0,1154.0,1154.0,1200.0,1240.0,1279.0,1327.0,1346.0,1346.0,1384.0,1385.0,1372.0,1385.0,1442.0,1442.0,1500.0,1538.0,1615.0
Male + Less than HS,330.0,340.0,350.0,360.0,368.0,384.0,400.0,400.0,420.0,425.0,440.0,450.0,468.0,481.0,483.0,480.0,480.0,500.0,500.0,519.0,520.0,556.0,577.0,600.0,640.0,670.0
