,98
total,526.0
total men,600.0
total women,450.0
Less than HS,320.0
High School,450.0
Some College,512.0
Bachelors Degree,730.0
Advanced Degree,961.0
Male + Less than HS,360.0
Male + High School,520.0
Male + Some College,600.0
Male + Bachelors Degree,846.0
Male + Advanced Degree,1076.0
Female + Less than HS,280.0
Female + High School,380.0
Female + Some College,440.0
Female + Bachelors Degree,623.0
Female + Advanced Degree,826.0
White,548.0
White + Less than HS,325.0
White + High School,461.0
White + Some College,529.0
White + Bachelors Degree,750.0
White + Advanced Degree,961.0
Hispanic or Latino,380.0
Hispanic or Latino + Less than HS,300.0
Hispanic or Latino + High School,398.0
Hispanic or Latino + Some College,450.0
Hispanic or Latino + Bachelors Degree,653.0
Hispanic or Latino + Advanced Degree,818.0
White + Male,615.0
Hispanic or Latino + Male,400.0
White + Male + Less than HS,360.0
Hispanic or Latino + Male + Less than HS,320.0
White + Male + High School,540.0
Hispanic or Latino + Male + High School,423.0
White + Male + Some College,615.0
Hispanic or Latino + Male + Some College,500.0
White + Male + Bachelors Degree,865.0
Hispanic or Latino + Male + Bachelors Degree,750.0
White + Male + Advanced Degree,1107.0
Hispanic or Latino + Male + Advanced Degree,945.0
White + Female,460.0
Hispanic or Latino + Female,346.0
White + Female + Less than HS,280.0
Hispanic or Latino + Female + Less than HS,250.0
White + Female + High School,384.0
Hispanic or Latino + Female + High School,346.0
White + Female + Some College,440.0
Hispanic or Latino + Female + Some College,400.0
White + Female + Bachelors Degree,634.0
Hispanic or Latino + Female + Bachelors Degree,594.0
White + Female + Advanced Degree,826.0
Hispanic or Latino + Female + Advanced Degree,706.0
Black,437.0
Black + Less than HS,300.0
Black + High School,384.0
Black + Some College,450.0
Black + Bachelors Degree,600.0
Black + Advanced Degree,800.0
Black + Male,480.0
Black + Male + Less than HS,325.0
Black + Male + High School,430.0
Black + Male + Some College,500.0
Black + Male + Bachelors Degree,673.0
Black + Male + Advanced Degree,885.0
Black + Female,400.0
Black + Female + Less than HS,270.0
Black + Female + High School,350.0
Black + Female + Some College,410.0
Black + Female + Bachelors Degree,578.0
Black + Female + Advanced Degree,769.0
Asian,531.0
Asian + Less than HS,320.0
Asian + High School,400.0
Asian + Some College,480.0
Asian + Bachelors Degree,692.0
Asian + Advanced Degree,923.0
Asian + Male,600.0
Asian + Male + Less than HS,346.0
Asian + Male + High School,440.0
Asian + Male + Some College,520.0
Asian + Male + Bachelors Degree,750.0
Asian + Male + Advanced Degree,961.0
Asian + Female,462.0
Asian + Female + Less than HS,294.0
Asian + Female + High School,352.0
Asian + Female + Some College,431.0
Asian + Female + Bachelors Degree,640.0
Asian + Female + Advanced Degree,848.0
